Concentration,Sample Type,Sample Number,Circle 1 Pixels Changed,Circle 1 Intensity Change,Circle 2 Pixels Changed,Circle 2 Intensity Change,Circle 3 Pixels Changed,Circle 3 Intensity Change,Circle 4 Pixels Changed,Circle 4 Intensity Change
20mM,High height,8,74.29683157309617,136.85295534556235,88.34571915157146,156.99694225112248,83.21484560137081,150.34653104378577,76.05351170568562,139.4670011148272
20mM,High height,9,84.77414747366542,151.58371719335832,87.63281443044231,156.43501359031382,86.25766871165645,152.98598252463285,70.18782199505091,129.15747839844227
20mM,High height,10,77.86112058188431,151.09671553585633,66.93207865846303,117.20404552217799,82.92130660727543,149.224573125464,77.06108500640751,146.7507475437847
20mM,Android,1,62.02554223744292,113.64283675799086,75.16309230829329,139.41181296144381,63.988800344604776,125.25206403905521,80.19994347887523,146.09986576232868
20mM,Android,2,69.90945462202569,128.61511897241525,52.04420353796378,96.89932350098744,79.30764060049295,146.61270445888417,80.81087584215592,148.58822585819698
20mM,Android,3,79.11879813154906,147.90506249210958,79.66753947472824,149.12128064746489,77.53599535777754,146.08540963986508,81.1424516586837,148.77899591981551
20mM,Android,4,78.07606263982103,141.9929985914326,79.84231488254898,148.49670811997075,88.71844039629273,157.97886705017578,84.16229858279945,154.47450980392156
20mM,Android,5,83.20984750480223,151.33251009447645,77.17167086866836,140.35801054320422,78.87397735058236,148.17164389634465,85.04646464646464,152.76888888888888
20mM,Android,6,78.54075562384273,144.25812551707835,80.13336083041177,149.61758438165944,77.07828894269572,144.13501671855184,85.59851359898798,154.62250948766604
20mM,Android,7,77.10760297586646,143.32491380874615,70.3915857605178,138.92330097087378,76.55126645282601,140.06411532647567,80.62610137866695,150.94727203621161
20mM,Android,8,71.38410227904392,133.14993514915693,63.4618361975538,128.2381560613098,82.88307995187574,148.76306099383865,76.65923448532143,142.82623560014864
20mM,Android,9,75.95429387609356,144.32437064809855,77.55950910139198,143.3253026933531,73.90221230712028,138.69239635620005,67.907995618839,124.51908644679729
20mM,Android,10,81.77444406561352,149.3383717846725,85.56721759761933,154.99497325773112,76.78173719376392,141.36187824795843,73.22013384593478,137.82724619108643
20mM,Right side,2,75.11476100231627,146.01785639081913,64.38085633850162,118.38661288289424,82.06736873552917,152.35043692583463,85.43471286493424,156.1207491177414
20mM,Right side,3,63.31271304128266,113.24584437991837,55.435213837975084,97.09592954058557,76.63293801907663,140.63286548435065,83.84601738513395,152.8442788717403
20mM,Right side,5,80.2501078050884,149.21247402877415,76.31981052792422,140.47348918939568,86.13226937492443,155.36875831217506,80.75959595959597,151.58072727272727
20mM,Right side,7,64.31863545636001,121.38813282525858,61.11326860841424,109.71854368932038,73.76765107104671,138.90318180142316,82.56452783248677,152.09488269237414
20mM,Right side,10,70.33375004735387,125.11993787172784,70.86902320344231,131.09631238187157,83.51521900519673,152.28017817371938,77.42773743414494,142.48640182258293
20mM,Normal light,1,67.0519406392694,127.6560716324201,66.40103129028478,120.8486659635142,78.73142364850312,151.48711321702922,85.75314398756535,158.36494983750177
20mM,Normal light,2,74.03663929248263,141.2880606443462,60.368082692550104,109.63994285474179,75.9504070505639,143.55792068115616,75.17645171639397,141.66799005453962
20mM,Normal light,3,68.4972436140218,128.45453015191686,52.47956835674046,96.80191224311672,81.16273165778117,149.97595473833098,88.80610253681036,157.92744367571404
20mM,Normal light,4,86.75532355621841,157.55804126273924,65.67910265788832,124.03917743639762,84.59571748162352,155.42094119527005,86.29780625121336,154.9962725684333
20mM,Normal light,5,74.23262377984241,140.32686502802932,65.77278630911452,123.3467797387119,86.1604803933422,158.39680812477332,80.48484848484848,152.38779797979797
20mM,Normal light,6,75.78300437300555,144.75578142851515,59.878325427923286,107.11376916202653,71.6092086552135,136.9340481955494,77.1703036053131,148.00498102466793
20mM,Normal light,7,72.3171838141898,138.51268372346217,49.582524271844655,91.22605177993528,70.40887807395937,131.20956383880838,75.17017380187278,136.66314225493244
20mM,Normal light,8,68.36761163609413,126.0982397628312,60.58600402539093,111.27426846261031,78.5992927193846,143.75770170257758,73.30732069862505,133.92623560014863
20mM,Normal light,9,81.39975004463489,147.85477593286913,82.47261345852895,150.05609093155425,75.35973229224763,137.85852388919872,71.31556529146891,133.43405947020406
20mM,Normal light,10,63.192787059135505,116.45486229495776,55.36252865243093,97.66980335384244,73.47809948032665,136.31098737936153,74.98932080307561,136.5620817314538
30mM,Dry,1,44.39798977997382,77.27961484860002,46.55289016191272,83.11691928233282,45.003521746786404,80.33381757351647,42.60099863822061,77.21985171735513
30mM,Dry,2,44.173097931423335,79.10469746625789,43.173052198508614,75.86118968029484,49.07645545943418,87.6227495908347,49.35620444328052,88.52215093186679
30mM,Dry,3,43.40232085177653,76.91147266419428,43.63024039019858,76.57964618898308,44.18539522509277,78.30693831828047,49.24242424242424,85.69102014913533
30mM,Dry,4,44.992148301352024,80.358841778697,44.75133367750818,78.0072276716572,43.779478042133945,76.2744645914125,45.57975060487623,79.64057323655314
30mM,Dry,5,45.26048003539431,80.35372193341445,44.31144550843593,79.50292597659218,43.29699048552411,76.15067989709665,43.53106993325871,77.88347220494963
30mM,Dry,6,41.992953799343425,72.84061974537593,42.427281845536605,73.27423009770051,41.91881303659248,71.62453113278319,44.467756183745585,78.4328253828033
30mM,Dry,7,44.19083110127712,76.97108031520516,52.968506036025744,94.86073346281275,49.8769987699877,88.22570725707257,49.291406587367014,88.1063871550269
30mM,Dry,8,48.505389487720855,85.11482757343408,48.82131613299547,85.21227827689472,50.12811273921051,89.56057330450797,45.30591928937897,79.51680833141894
30mM,Dry,9,50.1506358418165,90.08248501569784,45.81147160652461,80.54648963129529,46.684887134325336,83.6938286601208,48.04381846635368,85.55190401669275
30mM,Dry,10,48.56871136471707,86.01042954509431,47.02193359437176,82.76745296533282,45.75513851653262,80.88713881441764,45.18879415347138,79.21603366183147
30mM,Yellow light,1,54.2294860424849,98.10600109801935,66.79396904960815,125.65123125273502,75.05722838527909,138.18511181546046,64.04145861703738,119.79471175669542
30mM,Yellow light,2,62.60351693272721,110.62191211192163,77.12351075683553,147.58579754864147,76.18657937806874,141.8702361468319,74.42276635677186,136.97424817773123
30mM,Yellow light,3,69.37831479044543,128.63843362443674,73.09255603298107,136.6724344830256,84.63558076034447,154.68683049779457,77.75662382992226,141.90262573377757
30mM,Yellow light,4,74.74434103182811,141.1540847983454,66.35260712441921,116.85196179659268,69.81797854871957,128.16923453167033,84.13549227619579,153.89845523915875
30mM,Yellow light,5,61.49762194447517,111.5909007115732,50.702994376045,91.4013527891777,64.13491771815917,117.74653926252603,77.23749119097957,141.9841230361066
30mM,Yellow light,6,59.968772519817435,108.22099447513813,61.55132062855232,111.82584791411271,67.57105943152455,125.22538968075352,74.86381036513545,137.7424175500589
30mM,Yellow light,7,39.691782151314,74.15352664881021,52.88472523706158,97.38565825050459,64.2154278685644,124.32744684589703,61.6692183880972,116.07717975896047
30mM,Yellow light,8,53.55409860354854,94.1333111086417,58.584811487368505,104.87641096521538,66.95091680678998,125.02982624709745,75.98591010031396,140.90569722030784
30mM,Yellow light,9,56.84203849934989,101.41984587574922,60.75953885141164,111.23931898490203,72.63218274454229,136.614805817053,63.883299798792756,116.51814591251211
30mM,Yellow light,10,63.10033285782216,123.11466159454747,59.045618056218764,109.01289275140866,69.19496574322311,131.5958817396485,72.64607094083343,137.3120732292474
30mM,Left side,1,78.3647958106339,147.22610752143248,69.99244142101286,138.6574770258981,81.29072019721782,151.1719933086811,85.44787411106067,157.43754728400665
30mM,Left side,3,90.50125613111616,161.79000677912032,63.10533039135989,112.51105175550653,92.98816775187285,162.18276972624798,75.10312549579565,141.33039822306839
30mM,Left side,4,81.68447661725841,152.63870695928608,76.29926002409223,151.1725606608157,82.33588372986759,152.52622017258847,73.80978968918667,142.170817048204
30mM,Left side,5,82.73052390959703,152.71636618368174,67.76105791153671,136.94110047119622,76.12397402915595,148.4025480828127,75.68710359408034,140.39679973469302
30mM,Left side,7,61.96964403555762,110.15216800590039,82.18134734757608,153.34700483643704,89.52732384466702,158.19653839395536,70.49817453774585,128.99807639461392
30mM,Left side,8,81.18679853317036,148.8467977923473,89.69131536512324,161.00422329724333,86.03571142605493,156.0937224757787,76.01654031702274,141.6501646374148
30mM,Left side,9,82.78945866235372,147.28246598801255,61.601884570082454,115.0375486311882,80.2037993049229,151.19529642001552,74.02563529324094,143.73716372307922
30mM,Left side,10,79.2867332382311,151.63702647012204,76.16591856874543,143.0691115143412,90.4453380994936,161.50774501042596,67.65954305540176,128.7892444542871
